# ID          RV    gmag   rmag    snr    verr(sys+stat)
3079906762 152.93  20.57  20.24    2.66   2.52
3079924010  65.15  18.86  18.39    9.52   1.18
3079920020  63.25  19.55  19.07    5.40   1.40
3079937228  56.68  20.18  19.74    3.50   1.91
3079931617 131.78  18.03  17.60   15.39   0.94
3079944902 126.61  18.56  18.10   12.80   0.94
3079938033  64.66  20.29  19.86    2.97   1.75
3079898114  45.83  18.21  17.91    8.39   0.99
3079920118  64.44  18.55  18.04    7.75   1.14
3079931392  65.67  19.29  18.82    7.06   1.12
3079950295  -8.53  21.31  21.06    1.14   4.78
3079857028 311.02  20.60  20.28    2.03   2.83
3079927898  95.55  18.21  17.73   12.05   0.96
3079923884  65.64  19.29  18.82    5.00   1.34
3079920000  66.31  19.67  19.21    4.35   1.40
3079937388  67.96  20.38  19.95    2.00   3.48
3079923223  67.94  19.21  18.74    6.40   1.14
3079878599 137.64  20.48  20.06    2.26   2.58
3079906359  59.32  19.36  18.84    4.15   1.84
3079909748  70.52  18.84  18.30    7.05   1.01
3079878519 285.07  20.66  20.27    2.04   2.73
3079912728  69.70  18.92  18.42    6.60   1.38
3079915472  62.28  17.48  16.87   18.23   1.03
3079915825 133.74  20.18  19.81    2.17   2.58
3081534278 196.81  19.51  18.99    4.88   1.44
3081519109  50.96  17.60  17.00   16.66   0.94
3081531151  34.42  18.28  18.19    7.72   1.16
3079394281  13.13  17.57  16.99   17.66   0.93
3079986429  52.94  17.66  17.10   12.65   1.10
3079937720 197.28  18.21  17.95   12.40   1.00
3081503234  24.41  18.03  17.45   11.37   0.98
3081503714  16.70  18.27  17.68    9.72   1.06
3081496149 286.61  19.79  19.33    3.71   1.55
3081503846 267.19  18.19  17.86   12.30   0.97
3079389888 157.61  18.72  18.21    3.42   2.22
3079931825  57.66  17.58  17.02   13.98   0.96
3079927853  59.81  20.28  19.87    3.09   1.83
3079923380  62.31  18.92  18.43    8.00   1.06
3079912570 158.97  19.78  19.27    3.96   1.36
3079913195  59.84  18.92  18.40    4.88   1.17
3079903485  67.87  19.69  19.22    4.79   1.36
3079912695  63.47  19.97  19.54    2.98   1.45
3079915814  57.43  19.66  19.20    3.24   2.38
3079931652  61.86  20.41  19.94    2.49   1.99
3079977168 299.87  20.57  20.18    2.27   2.00
3079927293  61.74  20.72  20.40    1.66   4.79
3079906817 216.54  19.23  18.74    6.49   1.16
3079923857 289.73  19.69  19.25    4.68   1.23
3079957055  55.71  18.02  18.20   14.41   3.23
3079931807  29.99  20.29  19.83    2.38   4.19
3079927851  59.07  17.41  16.81   23.19   0.92
