# DEIMOS on Keck
# http://etc.ucolick.org/web_s2n/deimos
#
# Grating: 1200
# Slitwidth: 0.75 asec
# Binning: 1x1
# Exptime: 36000
# Central Wavelength: 8000 A
# Seeing: 0.75 asec
# Airmass: 1.1
# Template: G5V
#MAG   36000s 10000s 3600s 1000s 360s
27.0   0.125
26.5   0.199
26.0   0.316
25.5   0.500
25.0   0.792
24.5   1.25
24.0   1.98
23.5   3.11
23.0   4.89
22.5   7.64
22.0   11.85
21.5   18.19
21.0   27.49
20.5   40.74
20.0   58.96
19.5   83.14
19.0   114.3
18.5   153.4
18.0   202.1
17.5   262.4
17.0   337.2
16.5   430.2
16.0   546.3
15.5   691.5
15.0   873.6
