# http://instrumentation.tamu.edu/cgi-bin/gmacs.cgi
# Full size (7 mirrors)
# G0V Star
# High resolution grating
# g-band magnitude (AB) system
# Binned Pixel Scale: 1.4
# S/N measured at 8600A (plot 8000-9000)
# SNR = 5 for 180 at g = 23
# SNR = 5 for 1000 at g = 24
# SNR = 5 for 5000 at g = 25
# SNR = 5 for 36000s at g = 26
#MAG   36000s 10000s 3600s 1000s 360s
27.0   1.4    NaN    0.43  NaN   0.14
26.5   2.1    NaN    NaN   NaN   NaN  
26.0   3.5    NaN    1.1   NaN   0.35  
25.5   5.4    NaN    NaN   NaN   NaN  
25.0   8.5    NaN    2.6   NaN   0.85 
24.5   13.0   NaN    NaN   NaN   NaN  
24.0   20.5   NaN    6.5   NaN   2.1 
23.5   32     NaN    NaN   NaN   NaN  
23.0   49     NaN    15.2  NaN   4.9  
22.5   72     NaN    NaN   NaN   NaN  
22.0   106    NaN    34    NaN   10.6
21.5   150    NaN    NaN   NaN   NaN  
21.0   210    NaN    66    NaN   21 
20.5   280    NaN    NaN   NaN   NaN  
20.0   375    NaN    120   NaN   38  
19.5   500    NaN    NaN   NaN   NaN  
19.0   640    NaN    202   NaN   64  
18.5   825    NaN    NaN   NaN   NaN  
18.0   1050   NaN    330   NaN   105  
17.5   1330   NaN    NaN   NaN   NaN  
17.0   1675   NaN    530   NaN   169  
16.5   2100   NaN    NaN   NaN   NaN  
16.0   2680   NaN    850   NaN   268
