#snr  sigma
      72.2973      2.21116
      4.82778      6.62967
      7.73158      12.6714
      18.5384      2.83708
      37.0631      2.53901
      6.17818      10.2432
      4.76817      26.9548
      128.717      2.23281
      4.12056      7.91667
      5.86651      26.5274
      40.5723      2.51375
      16.7548      4.75955
      18.1775      3.51229
      84.1736      2.27879
      33.2933      2.51872
      60.8379      2.29480
      5.65398      9.25109
      14.2031      3.87562
      12.0708      23.4614
      26.7150      2.63393
      2.31125      10.9486
      23.4027      2.58612
      35.3993      2.39619
      12.3990      3.53710
      8.64046      8.29814
      6.75939      11.3136
      6.48952      6.14038
      45.9501      2.32134
      36.6057      2.29551
      5.89656      17.0666
      53.0769      2.34980
      12.4605      3.69365
      77.2002      2.28680
      72.0382      2.29913
      28.1662      2.56455
      6.34238      25.1949
      4.39823      4.97074
      3.42462      7.45341
      6.01979      2.99275
      8.57510      3.54128
      22.6511      2.45934
      10.9623      3.75817
      10.6396      2.66321
      25.1721      2.51186
      14.1592      2.72041
      3.29766      6.21631
      3.96556      3.58572
      11.9935      3.25898
      43.3352      2.21664
      17.2404      2.55895
      11.9692      2.76345
      5.90066      5.97153
      21.9277      7.87818
      7.71362      2.95085
      4.71520      4.55569
      2.52439      7.95148
      42.2184      2.26445
      43.2157      2.24285
      11.7534      5.06449
      59.5199      2.22053
      11.3970      2.63984
      27.9728      2.23977
      167.034      2.20092
      7.70319      2.97092
      17.8835      2.48632
      6.35968      5.37337
      4.36705      6.25950
      37.9399      2.22936
      23.3347      2.30640
      10.3860      13.0504
      46.0080      2.25634
      10.6893      3.51513
      6.11774      7.24374
      6.71470      3.85430
      92.4889      2.21006
      16.4298      2.27041
      40.8270      2.25796
      8.25356      3.14183
      34.2244      2.35408
      12.3824      8.03867
      91.6655      2.20413
      75.5275      2.20465
      17.2068      2.54857
      10.0997      3.13254
      15.3499      2.75994
      21.0643      2.32160
      17.8302      2.47081
      33.7637      2.26225
      7.81655      5.31526
      31.1267      2.69458
      13.3449      2.95330
      10.8324      7.90935
      12.8063      6.04297
      26.3463      2.31554
      148.530      2.20175
      20.5101      2.32784
      20.1144      2.47059
      26.3781      2.41944
      102.383      2.33800
      4.91407      0.00000
      22.3705      2.56119
      12.7414      9.24496
      8.20819      3.24231
      29.1920      2.27594
      52.1112      2.22017
      91.3618      2.20961
      40.2856      2.26961
      14.5550      2.42236
      18.7505      2.40065
      16.1270      5.65497
      52.5791      2.21048
      2.80660      5.09372
      64.6700      2.20689
      31.0063      2.35195
      43.8223      2.26376
      72.1435      2.21719
      10.2503      2.52528
      57.8541      2.22396
      6.34433      4.58604
      3.61478      5.31951
      30.4625      2.30771
      39.5909      2.21454
      7.33264      2.82059
      21.9808      2.31091
      23.2778      2.27219
      7.80857      2.99824
      3.64613      22.9370
      9.70840      7.55875
